test_image,response,resptime
H27_1.0_chroma.JPG,2,5.51359
H3_1.0_chroma.JPG,2,1.627123
I06_1.0_chroma.JPG,4,1.442398
H29_1.0_chroma.JPG,3,1.863524
H17_1.0_chroma.JPG,1,1.384707
H15_1.0_chroma.JPG,5,1.504209
H6_1.0_chroma.JPG,2,1.375361
H14_1.0_chroma.JPG,4,1.65847
H24_1.0_chroma.JPG,2,1.47503
I08_1.0_chroma.JPG,2,1.602463
I07_1.0_chroma.JPG,4,1.515254
I03_1.0_chroma.JPG,3,2.036823
I01_1.0_chroma.JPG,1,1.304222
I16_1.0_chroma.JPG,6,2.24353
I22_1.0_chroma.JPG,4,1.882618
H22_1.0_chroma.JPG,4,2.952765
H8_1.0_chroma.JPG,3,1.425249
I21_1.0_chroma.JPG,6,1.802705
H5_1.0_chroma.JPG,3,2.066516
H25_1.0_chroma.JPG,2,5.484341
H20_1.0_chroma.JPG,1,3.602327
H21_1.0_chroma.JPG,1,1.622713
I20_1.0_chroma.JPG,4,1.410128
I15_1.0_chroma.JPG,6,2.203307
H11_1.0_chroma.JPG,3,1.514066
H9_1.0_chroma.JPG,2,1.57493
H16_1.0_chroma.JPG,3,4.542448
H13_1.0_chroma.JPG,4,1.998755
I14_1.0_chroma.JPG,5,1.546547
H0_1.0_chroma.JPG,1,1.570922
H1_1.0_chroma.JPG,3,1.345296
H2_1.0_chroma.JPG,6,9.07941
H7_1.0_chroma.JPG,1,1.928512
H10_1.0_chroma.JPG,2,1.718053
I04_1.0_chroma.JPG,4,1.97824
H18_1.0_chroma.JPG,5,2.181086
H12_1.0_chroma.JPG,2,2.455792
I23_1.0_chroma.JPG,7,1.739552
H4_1.0_chroma.JPG,4,5.296368
H26_1.0_chroma.JPG,4,2.48094
H28_1.0_chroma.JPG,3,3.825971
H23_1.0_chroma.JPG,6,16.109562
I13_1.0_chroma.JPG,6,5.256825
H19_1.0_chroma.JPG,4,7.310796
I12_1.0_chroma.JPG,6,1.603614
