test_image,response,resptime
H24_1.0_chroma.JPG,2,10.407369
H7_1.0_chroma.JPG,3,5.669287
I23_1.0_chroma.JPG,5,14.615309
H5_1.0_chroma.JPG,3,2.753356
H17_1.0_chroma.JPG,2,2.228169
H6_1.0_chroma.JPG,2,1.362734
H2_1.0_chroma.JPG,5,5.213598
I08_1.0_chroma.JPG,2,2.970078
I21_1.0_chroma.JPG,5,3.767214
H23_1.0_chroma.JPG,3,1.838491
I13_1.0_chroma.JPG,4,4.411044
H4_1.0_chroma.JPG,3,4.060068
H25_1.0_chroma.JPG,5,4.602049
H22_1.0_chroma.JPG,3,1.808953
H27_1.0_chroma.JPG,3,1.970865
H9_1.0_chroma.JPG,3,1.482625
H0_1.0_chroma.JPG,2,4.466683
I12_1.0_chroma.JPG,3,1.959933
I14_1.0_chroma.JPG,2,1.424675
I03_1.0_chroma.JPG,4,6.838607
I22_1.0_chroma.JPG,4,2.823939
H16_1.0_chroma.JPG,3,1.445308
I16_1.0_chroma.JPG,4,1.91332
H19_1.0_chroma.JPG,3,5.923043
H10_1.0_chroma.JPG,2,2.132048
H21_1.0_chroma.JPG,3,3.770172
H8_1.0_chroma.JPG,3,6.798213
H28_1.0_chroma.JPG,3,2.231658
I04_1.0_chroma.JPG,8,40.623622
I20_1.0_chroma.JPG,3,0.011429
H3_1.0_chroma.JPG,2,2.109288
H18_1.0_chroma.JPG,2,4.638002
H1_1.0_chroma.JPG,3,7.58631
H11_1.0_chroma.JPG,3,2.420473
H12_1.0_chroma.JPG,2,2.015184
H29_1.0_chroma.JPG,3,5.101903
I06_1.0_chroma.JPG,4,1.67416
I01_1.0_chroma.JPG,2,1.808622
I15_1.0_chroma.JPG,3,8.9554
H13_1.0_chroma.JPG,3,2.287367
I07_1.0_chroma.JPG,4,2.095681
H20_1.0_chroma.JPG,4,3.163571
H26_1.0_chroma.JPG,4,1.407315
H15_1.0_chroma.JPG,4,5.522883
H14_1.0_chroma.JPG,3,2.172876
