test_image,response,resptime
H2_1.0_chroma.JPG,4,7.518722
H11_1.0_chroma.JPG,2,11.561619
H29_1.0_chroma.JPG,3,30.776276
I06_1.0_chroma.JPG,5,9.928307
H20_1.0_chroma.JPG,4,12.171331
H5_1.0_chroma.JPG,1,11.305555
I07_1.0_chroma.JPG,6,8.355028
I20_1.0_chroma.JPG,3,4.213924
H22_1.0_chroma.JPG,6,9.308694
I21_1.0_chroma.JPG,6,8.952536
H10_1.0_chroma.JPG,2,4.439135
I16_1.0_chroma.JPG,5,6.948407
H16_1.0_chroma.JPG,2,5.650628
H25_1.0_chroma.JPG,6,11.483587
H15_1.0_chroma.JPG,6,13.468094
H19_1.0_chroma.JPG,5,5.524637
I13_1.0_chroma.JPG,5,3.449453
H6_1.0_chroma.JPG,2,8.528237
I22_1.0_chroma.JPG,3,5.928502
I04_1.0_chroma.JPG,5,5.618725
I15_1.0_chroma.JPG,6,2.987901
H12_1.0_chroma.JPG,3,3.949889
H3_1.0_chroma.JPG,1,25.062865
H21_1.0_chroma.JPG,2,10.673821
H18_1.0_chroma.JPG,5,18.091168
H24_1.0_chroma.JPG,3,14.71514
H27_1.0_chroma.JPG,3,6.292195
H1_1.0_chroma.JPG,5,7.91909
I23_1.0_chroma.JPG,8,14.78222
H9_1.0_chroma.JPG,2,9.439605
H0_1.0_chroma.JPG,4,4.177863
H23_1.0_chroma.JPG,4,4.777026
H13_1.0_chroma.JPG,4,0.039937
H17_1.0_chroma.JPG,1,44.174045
H8_1.0_chroma.JPG,3,5.494364
H14_1.0_chroma.JPG,4,6.24905
H7_1.0_chroma.JPG,4,3.280008
H4_1.0_chroma.JPG,3,4.68683
I14_1.0_chroma.JPG,3,25.539091
I03_1.0_chroma.JPG,5,6.927347
I08_1.0_chroma.JPG,1,4.278969
I01_1.0_chroma.JPG,3,4.378606
H28_1.0_chroma.JPG,5,6.443774
I12_1.0_chroma.JPG,4,2.600952
H26_1.0_chroma.JPG,6,9.498813
