test_image,response,resptime
H21_1.0_chroma.JPG,4,36.716902
H13_1.0_chroma.JPG,3,18.994842
H5_1.0_chroma.JPG,3,15.079589
H2_1.0_chroma.JPG,7,4.381498
H18_1.0_chroma.JPG,5,3.378997
H1_1.0_chroma.JPG,5,5.01511
H15_1.0_chroma.JPG,6,8.020056
I04_1.0_chroma.JPG,6,5.089892
H28_1.0_chroma.JPG,6,4.254204
H25_1.0_chroma.JPG,8,7.944128
H14_1.0_chroma.JPG,6,4.501625
I01_1.0_chroma.JPG,5,2.220445
H19_1.0_chroma.JPG,5,5.06139
H9_1.0_chroma.JPG,5,1.796695
H22_1.0_chroma.JPG,6,3.09262
I07_1.0_chroma.JPG,7,6.193761
H24_1.0_chroma.JPG,4,5.170948
H10_1.0_chroma.JPG,4,2.700822
I15_1.0_chroma.JPG,8,3.714799
H29_1.0_chroma.JPG,4,5.051613
I16_1.0_chroma.JPG,8,4.296025
I21_1.0_chroma.JPG,8,2.338365
I06_1.0_chroma.JPG,5,5.138978
I23_1.0_chroma.JPG,8,2.827473
H27_1.0_chroma.JPG,4,6.135795
I08_1.0_chroma.JPG,2,2.87482
H8_1.0_chroma.JPG,5,10.667881
I22_1.0_chroma.JPG,5,1.768748
H26_1.0_chroma.JPG,7,5.627362
H4_1.0_chroma.JPG,3,2.722248
H16_1.0_chroma.JPG,4,3.31179
H3_1.0_chroma.JPG,2,3.303719
I03_1.0_chroma.JPG,8,4.687655
H20_1.0_chroma.JPG,3,5.587025
I13_1.0_chroma.JPG,8,5.137213
H6_1.0_chroma.JPG,4,2.497969
H23_1.0_chroma.JPG,4,5.828071
H0_1.0_chroma.JPG,4,2.100842
I14_1.0_chroma.JPG,4,2.37198
I20_1.0_chroma.JPG,6,2.727722
I12_1.0_chroma.JPG,6,4.397361
H12_1.0_chroma.JPG,4,2.189285
H11_1.0_chroma.JPG,5,4.076805
H7_1.0_chroma.JPG,5,2.396186
H17_1.0_chroma.JPG,3,2.261844
