test_image,response,resptime
H24_1.0_chroma.JPG,0,1.885031
I03_1.0_chroma.JPG,2,0.867464
H4_1.0_chroma.JPG,1,2.11033
H14_1.0_chroma.JPG,5,1.355474
I06_1.0_chroma.JPG,5,1.019654
H22_1.0_chroma.JPG,4,1.22761
H17_1.0_chroma.JPG,0,1.362093
H5_1.0_chroma.JPG,4,3.337948
H3_1.0_chroma.JPG,2,1.402022
I22_1.0_chroma.JPG,5,1.850194
I23_1.0_chroma.JPG,8,1.665993
H27_1.0_chroma.JPG,3,2.217979
H1_1.0_chroma.JPG,4,1.300878
H11_1.0_chroma.JPG,5,1.473932
H12_1.0_chroma.JPG,3,1.094359
I01_1.0_chroma.JPG,2,0.836967
I15_1.0_chroma.JPG,5,1.070398
H16_1.0_chroma.JPG,3,1.661918
H23_1.0_chroma.JPG,7,2.255716
H0_1.0_chroma.JPG,7,1.365693
H25_1.0_chroma.JPG,5,2.602979
H21_1.0_chroma.JPG,4,2.212072
I20_1.0_chroma.JPG,3,1.559761
I12_1.0_chroma.JPG,8,1.426529
I13_1.0_chroma.JPG,2,0.842972
I04_1.0_chroma.JPG,5,0.315919
H2_1.0_chroma.JPG,4,0.401182
H6_1.0_chroma.JPG,7,0.449942
H29_1.0_chroma.JPG,5,0.491047
H8_1.0_chroma.JPG,6,0.783191
H18_1.0_chroma.JPG,3,0.496783
I07_1.0_chroma.JPG,2,0.521697
H9_1.0_chroma.JPG,5,0.842388
H19_1.0_chroma.JPG,2,1.567955
I21_1.0_chroma.JPG,8,0.817984
I08_1.0_chroma.JPG,1,0.721993
I16_1.0_chroma.JPG,9,0.537368
H20_1.0_chroma.JPG,4,0.774758
H26_1.0_chroma.JPG,3,1.179621
I14_1.0_chroma.JPG,3,2.987093
H28_1.0_chroma.JPG,4,1.051845
H13_1.0_chroma.JPG,5,0.904039
H15_1.0_chroma.JPG,3,0.60302
H10_1.0_chroma.JPG,2,1.124989
H7_1.0_chroma.JPG,5,1.178014
