test_image,response,resptime
H0_1.0_chroma.JPG,5,1.011019
I08_1.0_chroma.JPG,7,0.473961
H11_1.0_chroma.JPG,6,0.536019
I07_1.0_chroma.JPG,5,0.648947
H10_1.0_chroma.JPG,0,1.268974
H3_1.0_chroma.JPG,5,0.781592
I22_1.0_chroma.JPG,2,0.425382
I06_1.0_chroma.JPG,1,0.340918
I16_1.0_chroma.JPG,7,0.353002
H16_1.0_chroma.JPG,6,0.624946
H13_1.0_chroma.JPG,5,0.695628
H8_1.0_chroma.JPG,4,1.62443
H2_1.0_chroma.JPG,8,1.01302
H1_1.0_chroma.JPG,8,0.959958
H12_1.0_chroma.JPG,2,0.985479
H9_1.0_chroma.JPG,5,1.037494
I03_1.0_chroma.JPG,6,1.255272
H6_1.0_chroma.JPG,5,1.129705
H7_1.0_chroma.JPG,4,1.479969
H20_1.0_chroma.JPG,4,0.83102
I14_1.0_chroma.JPG,3,0.725387
H21_1.0_chroma.JPG,2,1.241587
H17_1.0_chroma.JPG,2,1.11663
H28_1.0_chroma.JPG,5,1.850397
H19_1.0_chroma.JPG,0,1.3578
H18_1.0_chroma.JPG,7,1.210533
I12_1.0_chroma.JPG,8,1.132625
H25_1.0_chroma.JPG,4,1.55615
I21_1.0_chroma.JPG,8,1.43466
H4_1.0_chroma.JPG,2,0.855358
H29_1.0_chroma.JPG,5,0.832194
H26_1.0_chroma.JPG,7,0.983197
I04_1.0_chroma.JPG,9,1.490696
H23_1.0_chroma.JPG,9,0.8407
I13_1.0_chroma.JPG,9,0.61634
I20_1.0_chroma.JPG,2,0.696753
H14_1.0_chroma.JPG,1,1.487857
H5_1.0_chroma.JPG,0,1.119381
H22_1.0_chroma.JPG,5,1.190645
I01_1.0_chroma.JPG,5,6.26293
I15_1.0_chroma.JPG,5,0.847002
I23_1.0_chroma.JPG,9,1.278
H27_1.0_chroma.JPG,2,0.856979
H15_1.0_chroma.JPG,7,0.589978
H24_1.0_chroma.JPG,4,0.601325
