test_image,response,resptime
H8_1.0_chroma.JPG,4,1.025289
H3_1.0_chroma.JPG,5,0.677597
I03_1.0_chroma.JPG,0,1.142033
H22_1.0_chroma.JPG,2,0.393035
H12_1.0_chroma.JPG,5,0.348284
H13_1.0_chroma.JPG,6,0.429088
H1_1.0_chroma.JPG,7,0.49598
I15_1.0_chroma.JPG,4,0.401968
H24_1.0_chroma.JPG,5,0.519432
H14_1.0_chroma.JPG,8,0.577905
I01_1.0_chroma.JPG,6,0.513369
H28_1.0_chroma.JPG,8,0.51504
H16_1.0_chroma.JPG,4,0.562991
I12_1.0_chroma.JPG,7,0.633969
H26_1.0_chroma.JPG,5,0.561979
I04_1.0_chroma.JPG,6,0.526921
H10_1.0_chroma.JPG,2,1.098017
H17_1.0_chroma.JPG,1,0.693933
I07_1.0_chroma.JPG,8,1.149376
H5_1.0_chroma.JPG,2,1.238621
H29_1.0_chroma.JPG,5,0.624985
H15_1.0_chroma.JPG,7,0.534982
H25_1.0_chroma.JPG,5,0.458963
H6_1.0_chroma.JPG,4,0.351936
H2_1.0_chroma.JPG,8,0.417027
H18_1.0_chroma.JPG,6,0.657974
I08_1.0_chroma.JPG,7,0.848848
H4_1.0_chroma.JPG,5,0.536089
I23_1.0_chroma.JPG,2,0.409399
I14_1.0_chroma.JPG,2,0.241541
H20_1.0_chroma.JPG,5,1.237975
H21_1.0_chroma.JPG,7,0.393968
H9_1.0_chroma.JPG,8,0.450041
I13_1.0_chroma.JPG,6,0.315967
I16_1.0_chroma.JPG,2,0.819983
H23_1.0_chroma.JPG,1,0.315958
I20_1.0_chroma.JPG,4,1.089979
I21_1.0_chroma.JPG,8,0.416123
H0_1.0_chroma.JPG,9,0.652493
H27_1.0_chroma.JPG,8,0.724348
H11_1.0_chroma.JPG,5,0.615045
H19_1.0_chroma.JPG,7,0.65197
I06_1.0_chroma.JPG,5,0.521001
H7_1.0_chroma.JPG,2,0.42296
I22_1.0_chroma.JPG,6,0.399795
