"[0, 'Pictures/H28_recolor.BMP/0.6.jpg']","[6, 'Pictures/H28_recolor.BMP/2.99.jpg']","[4, 'Pictures/H28_recolor.BMP/2.2.jpg']","[1, 'Pictures/H28_recolor.BMP/1.0.jpg']","[8, 'Pictures/H28_recolor.BMP/3.79.jpg']","[3, 'Pictures/H28_recolor.BMP/1.8.jpg']","[7, 'Pictures/H28_recolor.BMP/3.39.jpg']","[5, 'Pictures/H28_recolor.BMP/2.6.jpg']","[2, 'Pictures/H28_recolor.BMP/1.4.jpg']"
"[8, 'Pictures/H26_recolor.BMP/2.52.jpg']","[0, 'Pictures/H26_recolor.BMP/0.6.jpg']","[4, 'Pictures/H26_recolor.BMP/1.86.jpg']","[1, 'Pictures/H26_recolor.BMP/1.0.jpg']","[5, 'Pictures/H26_recolor.BMP/2.7.jpg']","[2, 'Pictures/H26_recolor.BMP/1.6.jpg']","[7, 'Pictures/H26_recolor.BMP/2.33.jpg']","[3, 'Pictures/H26_recolor.BMP/1.31.jpg']","[6, 'Pictures/H26_recolor.BMP/2.11.jpg']"
"[4, 'Pictures/I04_recolor.BMP/2.17.jpg']","[8, 'Pictures/I04_recolor.BMP/3.72.jpg']","[3, 'Pictures/I04_recolor.BMP/1.78.jpg']","[1, 'Pictures/I04_recolor.BMP/1.0.jpg']","[0, 'Pictures/I04_recolor.BMP/0.6.jpg']","[5, 'Pictures/I04_recolor.BMP/2.56.jpg']","[6, 'Pictures/I04_recolor.BMP/2.95.jpg']","[2, 'Pictures/I04_recolor.BMP/1.39.jpg']","[7, 'Pictures/I04_recolor.BMP/3.33.jpg']"
"[8, 'Pictures/H0_recolor.BMP/4.03.jpg']","[1, 'Pictures/H0_recolor.BMP/1.0.jpg']","[6, 'Pictures/H0_recolor.BMP/3.14.jpg']","[7, 'Pictures/H0_recolor.BMP/3.58.jpg']","[3, 'Pictures/H0_recolor.BMP/1.84.jpg']","[0, 'Pictures/H0_recolor.BMP/0.6.jpg']","[4, 'Pictures/H0_recolor.BMP/2.7.jpg']","[5, 'Pictures/H0_recolor.BMP/2.27.jpg']","[2, 'Pictures/H0_recolor.BMP/1.42.jpg']"
"[4, 'Pictures/I07_recolor.BMP/1.39.jpg']","[1, 'Pictures/I07_recolor.BMP/0.8.jpg']","[7, 'Pictures/I07_recolor.BMP/1.97.jpg']","[3, 'Pictures/I07_recolor.BMP/1.2.jpg']","[2, 'Pictures/I07_recolor.BMP/1.0.jpg']","[6, 'Pictures/I07_recolor.BMP/1.78.jpg']","[0, 'Pictures/I07_recolor.BMP/0.6.jpg']","[8, 'Pictures/I07_recolor.BMP/2.16.jpg']","[5, 'Pictures/I07_recolor.BMP/1.58.jpg']"
"[3, 'Pictures/H29_recolor.BMP/1.72.jpg']","[8, 'Pictures/H29_recolor.BMP/3.34.jpg']","[5, 'Pictures/H29_recolor.BMP/2.39.jpg']","[0, 'Pictures/H29_recolor.BMP/0.6.jpg']","[6, 'Pictures/H29_recolor.BMP/2.72.jpg']","[7, 'Pictures/H29_recolor.BMP/3.03.jpg']","[2, 'Pictures/H29_recolor.BMP/1.36.jpg']","[4, 'Pictures/H29_recolor.BMP/2.06.jpg']","[1, 'Pictures/H29_recolor.BMP/1.0.jpg']"
"[2, 'Pictures/I20_recolor.BMP/1.31.jpg']","[1, 'Pictures/I20_recolor.BMP/1.0.jpg']","[6, 'Pictures/I20_recolor.BMP/2.36.jpg']","[3, 'Pictures/I20_recolor.BMP/1.61.jpg']","[5, 'Pictures/I20_recolor.BMP/2.13.jpg']","[8, 'Pictures/I20_recolor.BMP/2.75.jpg']","[4, 'Pictures/I20_recolor.BMP/1.88.jpg']","[7, 'Pictures/I20_recolor.BMP/2.56.jpg']","[0, 'Pictures/I20_recolor.BMP/0.6.jpg']"
"[3, 'Pictures/H11_recolor.BMP/1.52.jpg']","[6, 'Pictures/H11_recolor.BMP/2.07.jpg']","[8, 'Pictures/H11_recolor.BMP/2.28.jpg']","[5, 'Pictures/H11_recolor.BMP/1.92.jpg']","[0, 'Pictures/H11_recolor.BMP/0.6.jpg']","[1, 'Pictures/H11_recolor.BMP/1.0.jpg']","[7, 'Pictures/H11_recolor.BMP/2.19.jpg']","[4, 'Pictures/H11_recolor.BMP/1.73.jpg']","[2, 'Pictures/H11_recolor.BMP/1.28.jpg']"
"[5, 'Pictures/H4_recolor.BMP/2.87.jpg']","[6, 'Pictures/H4_recolor.BMP/3.37.jpg']","[3, 'Pictures/H4_recolor.BMP/1.91.jpg']","[7, 'Pictures/H4_recolor.BMP/3.89.jpg']","[8, 'Pictures/H4_recolor.BMP/4.41.jpg']","[4, 'Pictures/H4_recolor.BMP/2.39.jpg']","[2, 'Pictures/H4_recolor.BMP/1.45.jpg']","[1, 'Pictures/H4_recolor.BMP/1.0.jpg']","[0, 'Pictures/H4_recolor.BMP/0.6.jpg']"
"[3, 'Pictures/I21_recolor.BMP/1.54.jpg']","[2, 'Pictures/I21_recolor.BMP/1.28.jpg']","[5, 'Pictures/I21_recolor.BMP/1.96.jpg']","[4, 'Pictures/I21_recolor.BMP/1.77.jpg']","[6, 'Pictures/I21_recolor.BMP/2.13.jpg']","[8, 'Pictures/I21_recolor.BMP/2.38.jpg']","[7, 'Pictures/I21_recolor.BMP/2.27.jpg']","[0, 'Pictures/I21_recolor.BMP/0.6.jpg']","[1, 'Pictures/I21_recolor.BMP/1.0.jpg']"
"[8, 'Pictures/H5_recolor.BMP/4.39.jpg']","[2, 'Pictures/H5_recolor.BMP/1.45.jpg']","[7, 'Pictures/H5_recolor.BMP/3.87.jpg']","[4, 'Pictures/H5_recolor.BMP/2.38.jpg']","[5, 'Pictures/H5_recolor.BMP/2.86.jpg']","[3, 'Pictures/H5_recolor.BMP/1.91.jpg']","[6, 'Pictures/H5_recolor.BMP/3.36.jpg']","[0, 'Pictures/H5_recolor.BMP/0.6.jpg']","[1, 'Pictures/H5_recolor.BMP/1.0.jpg']"
