test_image,response,resptime
H6_1.0_chroma.JPG,4,6.41165
H27_1.0_chroma.JPG,3,3.590774
I21_1.0_chroma.JPG,5,2.798328
H14_1.0_chroma.JPG,2,2.703999
H25_1.0_chroma.JPG,4,3.903137
H17_1.0_chroma.JPG,1,2.204034
I22_1.0_chroma.JPG,5,2.775692
I01_1.0_chroma.JPG,1,2.062591
I07_1.0_chroma.JPG,3,2.655169
H20_1.0_chroma.JPG,2,4.653044
H15_1.0_chroma.JPG,4,4.655928
I13_1.0_chroma.JPG,5,3.152018
I08_1.0_chroma.JPG,1,1.840063
I20_1.0_chroma.JPG,2,2.661583
H13_1.0_chroma.JPG,4,2.681145
I16_1.0_chroma.JPG,6,2.658373
H21_1.0_chroma.JPG,2,2.567475
H3_1.0_chroma.JPG,1,2.198827
H24_1.0_chroma.JPG,1,2.767634
H7_1.0_chroma.JPG,3,4.378854
I03_1.0_chroma.JPG,3,5.402178
H12_1.0_chroma.JPG,2,3.870103
H10_1.0_chroma.JPG,3,3.770822
H18_1.0_chroma.JPG,4,2.31398
I23_1.0_chroma.JPG,6,6.816046
I06_1.0_chroma.JPG,4,3.666774
H16_1.0_chroma.JPG,3,1.612299
H5_1.0_chroma.JPG,3,3.176652
H28_1.0_chroma.JPG,4,3.076259
I15_1.0_chroma.JPG,4,4.407214
H19_1.0_chroma.JPG,2,1.757979
I14_1.0_chroma.JPG,2,2.819493
H1_1.0_chroma.JPG,4,2.412193
H23_1.0_chroma.JPG,4,3.699401
H4_1.0_chroma.JPG,3,1.691715
H8_1.0_chroma.JPG,3,1.903387
H11_1.0_chroma.JPG,2,2.433594
H2_1.0_chroma.JPG,5,2.785686
H22_1.0_chroma.JPG,2,3.393294
H26_1.0_chroma.JPG,3,1.790622
H0_1.0_chroma.JPG,2,1.868756
I04_1.0_chroma.JPG,4,1.384488
H29_1.0_chroma.JPG,3,3.868548
I12_1.0_chroma.JPG,4,1.623378
H9_1.0_chroma.JPG,2,2.637877
