test_image,response,resptime
H14_1.0_chroma.JPG,4,13.666782
H28_1.0_chroma.JPG,3,11.043632
I14_1.0_chroma.JPG,1,13.205755
H24_1.0_chroma.JPG,0,11.754673
I01_1.0_chroma.JPG,1,7.790446
H19_1.0_chroma.JPG,1,2.765158
H16_1.0_chroma.JPG,3,3.397194
I08_1.0_chroma.JPG,1,2.813161
I13_1.0_chroma.JPG,4,5.366307
I04_1.0_chroma.JPG,4,6.9984
I20_1.0_chroma.JPG,5,4.087234
H0_1.0_chroma.JPG,3,2.44314
H21_1.0_chroma.JPG,2,2.80116
H2_1.0_chroma.JPG,3,6.340363
H25_1.0_chroma.JPG,5,6.561376
I15_1.0_chroma.JPG,6,5.678325
H4_1.0_chroma.JPG,2,3.397194
H7_1.0_chroma.JPG,3,1.990114
H23_1.0_chroma.JPG,4,3.107178
H29_1.0_chroma.JPG,2,1.930111
I07_1.0_chroma.JPG,4,3.438197
H5_1.0_chroma.JPG,3,2.931167
H26_1.0_chroma.JPG,5,12.578719
H9_1.0_chroma.JPG,3,3.595206
H12_1.0_chroma.JPG,2,7.149409
I22_1.0_chroma.JPG,3,1.462084
H20_1.0_chroma.JPG,2,4.084234
H6_1.0_chroma.JPG,3,6.067347
H13_1.0_chroma.JPG,3,6.555375
H3_1.0_chroma.JPG,1,2.652151
H27_1.0_chroma.JPG,2,3.100178
I23_1.0_chroma.JPG,6,4.102234
I12_1.0_chroma.JPG,3,7.054403
I16_1.0_chroma.JPG,4,1.56709
H17_1.0_chroma.JPG,2,1.460083
H15_1.0_chroma.JPG,6,2.965169
H22_1.0_chroma.JPG,3,5.452312
I06_1.0_chroma.JPG,3,6.622379
H11_1.0_chroma.JPG,3,2.532145
H10_1.0_chroma.JPG,3,2.748158
I03_1.0_chroma.JPG,3,1.998114
I21_1.0_chroma.JPG,4,7.750443
H18_1.0_chroma.JPG,3,2.828161
H8_1.0_chroma.JPG,3,6.550375
H1_1.0_chroma.JPG,3,7.451427
