test_image,response,resptime
I16_1.0_chroma.JPG,4,20.891265
H19_1.0_chroma.JPG,2,10.771141
H21_1.0_chroma.JPG,2,23.812317
H10_1.0_chroma.JPG,3,6.836333
H26_1.0_chroma.JPG,4,7.965986
H1_1.0_chroma.JPG,3,5.632539
H2_1.0_chroma.JPG,4,5.666615
I01_1.0_chroma.JPG,2,7.612326
H6_1.0_chroma.JPG,4,2.536708
I22_1.0_chroma.JPG,4,16.558738
I12_1.0_chroma.JPG,4,19.735207
H18_1.0_chroma.JPG,3,12.111581
H15_1.0_chroma.JPG,5,4.047867
I04_1.0_chroma.JPG,4,7.981236
H16_1.0_chroma.JPG,4,6.606168
I21_1.0_chroma.JPG,6,2.698897
H29_1.0_chroma.JPG,3,5.091986
H17_1.0_chroma.JPG,2,3.089299
I23_1.0_chroma.JPG,6,5.563844
I07_1.0_chroma.JPG,5,5.974685
I20_1.0_chroma.JPG,4,7.633011
H3_1.0_chroma.JPG,2,5.597178
H22_1.0_chroma.JPG,3,10.844112
I06_1.0_chroma.JPG,4,2.978911
H8_1.0_chroma.JPG,3,15.7578
H20_1.0_chroma.JPG,4,2.020121
I14_1.0_chroma.JPG,3,5.716311
H5_1.0_chroma.JPG,3,6.305977
H27_1.0_chroma.JPG,2,2.069357
H28_1.0_chroma.JPG,4,6.016922
H24_1.0_chroma.JPG,2,6.675656
H23_1.0_chroma.JPG,4,18.489924
H25_1.0_chroma.JPG,8,44.926341
H9_1.0_chroma.JPG,4,7.506151
H14_1.0_chroma.JPG,4,11.042078
H0_1.0_chroma.JPG,3,21.669035
H7_1.0_chroma.JPG,3,6.67419
H11_1.0_chroma.JPG,3,3.028948
H4_1.0_chroma.JPG,3,8.260224
I08_1.0_chroma.JPG,3,3.82631
H13_1.0_chroma.JPG,5,5.50772
I15_1.0_chroma.JPG,6,5.254045
H12_1.0_chroma.JPG,4,4.158997
I13_1.0_chroma.JPG,5,6.306448
I03_1.0_chroma.JPG,5,2.569777
