test_image,response,resptime
I04_1.0_chroma.JPG,4,3.632937
H0_1.0_chroma.JPG,3,1.563006
H3_1.0_chroma.JPG,2,1.220201
I12_1.0_chroma.JPG,5,2.517123
H11_1.0_chroma.JPG,3,2.05113
H2_1.0_chroma.JPG,6,1.607248
H25_1.0_chroma.JPG,2,3.060851
I15_1.0_chroma.JPG,7,2.464398
H26_1.0_chroma.JPG,3,1.791224
I08_1.0_chroma.JPG,2,1.022204
I21_1.0_chroma.JPG,7,1.382969
I13_1.0_chroma.JPG,6,2.365332
H22_1.0_chroma.JPG,3,1.404403
H5_1.0_chroma.JPG,2,1.325855
H28_1.0_chroma.JPG,2,1.517474
H21_1.0_chroma.JPG,1,1.573202
H27_1.0_chroma.JPG,2,3.192919
H17_1.0_chroma.JPG,3,6.359064
I22_1.0_chroma.JPG,5,2.088111
I23_1.0_chroma.JPG,7,4.251587
I01_1.0_chroma.JPG,1,2.342637
H19_1.0_chroma.JPG,2,1.313378
H24_1.0_chroma.JPG,1,1.569272
I06_1.0_chroma.JPG,6,1.875962
I14_1.0_chroma.JPG,4,1.91756
H12_1.0_chroma.JPG,4,3.51158
H7_1.0_chroma.JPG,3,1.887384
H15_1.0_chroma.JPG,6,1.865946
H9_1.0_chroma.JPG,3,1.550028
H23_1.0_chroma.JPG,4,1.424727
H8_1.0_chroma.JPG,4,2.31845
H4_1.0_chroma.JPG,3,3.297475
H18_1.0_chroma.JPG,2,1.723106
H20_1.0_chroma.JPG,2,1.701172
I16_1.0_chroma.JPG,7,1.573955
H29_1.0_chroma.JPG,2,2.654218
H10_1.0_chroma.JPG,3,1.742708
I20_1.0_chroma.JPG,3,1.460487
I07_1.0_chroma.JPG,7,1.637023
H16_1.0_chroma.JPG,3,2.991251
H1_1.0_chroma.JPG,2,1.033645
H14_1.0_chroma.JPG,6,1.278087
H13_1.0_chroma.JPG,5,1.745647
I03_1.0_chroma.JPG,5,2.108684
H6_1.0_chroma.JPG,3,1.517706
