test_image,response,resptime
I04_1.0_chroma.JPG,5,13.465954
H16_1.0_chroma.JPG,3,5.797097
H22_1.0_chroma.JPG,3,3.617961
H27_1.0_chroma.JPG,2,3.069152
H5_1.0_chroma.JPG,4,7.429281
I16_1.0_chroma.JPG,5,3.93876
I15_1.0_chroma.JPG,7,5.925712
H10_1.0_chroma.JPG,2,9.987743
I13_1.0_chroma.JPG,6,5.946279
H23_1.0_chroma.JPG,5,8.13868
I12_1.0_chroma.JPG,3,6.846668
I14_1.0_chroma.JPG,2,3.068066
H0_1.0_chroma.JPG,3,10.576382
H7_1.0_chroma.JPG,3,8.908697
H18_1.0_chroma.JPG,5,18.605742
H26_1.0_chroma.JPG,4,13.840957
H1_1.0_chroma.JPG,7,8.305948
I22_1.0_chroma.JPG,4,6.428993
H9_1.0_chroma.JPG,3,6.708743
I20_1.0_chroma.JPG,5,3.867821
H25_1.0_chroma.JPG,8,8.056296
H29_1.0_chroma.JPG,4,5.712208
I21_1.0_chroma.JPG,4,8.192185
H20_1.0_chroma.JPG,3,16.055356
I08_1.0_chroma.JPG,1,4.11859
H19_1.0_chroma.JPG,6,4.268291
H17_1.0_chroma.JPG,3,5.296649
H3_1.0_chroma.JPG,1,6.848454
H2_1.0_chroma.JPG,5,5.867086
H15_1.0_chroma.JPG,8,4.638464
I06_1.0_chroma.JPG,8,8.98762
H21_1.0_chroma.JPG,3,6.754393
I07_1.0_chroma.JPG,7,4.164173
H13_1.0_chroma.JPG,8,7.700242
I23_1.0_chroma.JPG,8,9.537884
H24_1.0_chroma.JPG,3,4.308962
I03_1.0_chroma.JPG,9,5.32953
H28_1.0_chroma.JPG,4,12.23915
H4_1.0_chroma.JPG,3,4.667
H11_1.0_chroma.JPG,5,4.63835
H6_1.0_chroma.JPG,5,2.609397
I01_1.0_chroma.JPG,3,2.429069
H12_1.0_chroma.JPG,4,5.038559
H8_1.0_chroma.JPG,6,1.739283
H14_1.0_chroma.JPG,7,5.217891
