test_image,response,resptime
H28_1.0_chroma.JPG,5,1.174887
H23_1.0_chroma.JPG,6,1.907954
H11_1.0_chroma.JPG,2,1.076982
H9_1.0_chroma.JPG,4,1.141995
I01_1.0_chroma.JPG,5,0.767959
H18_1.0_chroma.JPG,6,0.613024
H26_1.0_chroma.JPG,2,0.617405
I04_1.0_chroma.JPG,5,1.089574
I22_1.0_chroma.JPG,3,1.295895
H16_1.0_chroma.JPG,1,0.707389
H19_1.0_chroma.JPG,0,1.302669
I15_1.0_chroma.JPG,5,0.772971
H13_1.0_chroma.JPG,3,0.791917
H10_1.0_chroma.JPG,2,0.698026
I13_1.0_chroma.JPG,1,0.572119
H17_1.0_chroma.JPG,5,0.517918
I20_1.0_chroma.JPG,2,0.497884
I16_1.0_chroma.JPG,3,0.787147
I03_1.0_chroma.JPG,5,0.755968
H2_1.0_chroma.JPG,6,0.825948
H5_1.0_chroma.JPG,2,1.227636
I14_1.0_chroma.JPG,1,0.682951
I12_1.0_chroma.JPG,6,1.039956
H20_1.0_chroma.JPG,3,1.327956
H29_1.0_chroma.JPG,0,1.485925
I07_1.0_chroma.JPG,5,1.503336
H3_1.0_chroma.JPG,0,1.220095
I08_1.0_chroma.JPG,3,1.665664
H21_1.0_chroma.JPG,3,1.63598
I06_1.0_chroma.JPG,5,1.994878
H6_1.0_chroma.JPG,5,1.045325
H15_1.0_chroma.JPG,4,1.399335
H4_1.0_chroma.JPG,3,2.471628
I21_1.0_chroma.JPG,9,1.518969
H12_1.0_chroma.JPG,5,1.831967
H25_1.0_chroma.JPG,2,1.036975
H27_1.0_chroma.JPG,3,1.714976
H24_1.0_chroma.JPG,2,1.558401
H8_1.0_chroma.JPG,2,1.429063
H14_1.0_chroma.JPG,6,0.67153
H1_1.0_chroma.JPG,6,0.951972
H0_1.0_chroma.JPG,5,0.77401
I23_1.0_chroma.JPG,8,1.642959
H22_1.0_chroma.JPG,5,0.673992
H7_1.0_chroma.JPG,2,0.299941
