test_image,response,resptime
I04_1.0_chroma.JPG,2,1.129765
H28_1.0_chroma.JPG,4,0.988295
I07_1.0_chroma.JPG,3,1.010966
H20_1.0_chroma.JPG,5,0.817974
I06_1.0_chroma.JPG,2,0.876334
I13_1.0_chroma.JPG,5,0.445636
I23_1.0_chroma.JPG,9,0.935969
H27_1.0_chroma.JPG,2,1.285751
I16_1.0_chroma.JPG,5,0.527193
H21_1.0_chroma.JPG,4,0.795982
I01_1.0_chroma.JPG,2,0.889179
H26_1.0_chroma.JPG,5,1.146235
H2_1.0_chroma.JPG,7,1.399934
H3_1.0_chroma.JPG,2,0.969265
I15_1.0_chroma.JPG,5,0.906314
I20_1.0_chroma.JPG,4,1.310965
H19_1.0_chroma.JPG,6,2.123615
H1_1.0_chroma.JPG,6,1.007122
H5_1.0_chroma.JPG,7,0.488262
H6_1.0_chroma.JPG,8,0.572399
H4_1.0_chroma.JPG,5,0.601586
H10_1.0_chroma.JPG,2,0.664944
I14_1.0_chroma.JPG,1,0.766245
H17_1.0_chroma.JPG,3,0.875859
H11_1.0_chroma.JPG,5,0.491984
H13_1.0_chroma.JPG,0,0.488982
H14_1.0_chroma.JPG,0,0.334961
H25_1.0_chroma.JPG,4,0.744983
I21_1.0_chroma.JPG,9,1.535791
H9_1.0_chroma.JPG,7,1.359131
H7_1.0_chroma.JPG,2,0.922001
H12_1.0_chroma.JPG,5,0.554958
I08_1.0_chroma.JPG,4,0.720952
H8_1.0_chroma.JPG,7,0.520244
I03_1.0_chroma.JPG,6,0.456758
H24_1.0_chroma.JPG,5,0.459004
H29_1.0_chroma.JPG,2,0.451974
I22_1.0_chroma.JPG,1,0.446948
I12_1.0_chroma.JPG,4,0.611877
H0_1.0_chroma.JPG,5,0.42345
H18_1.0_chroma.JPG,3,0.476655
H22_1.0_chroma.JPG,5,0.444966
H23_1.0_chroma.JPG,8,1.028985
H15_1.0_chroma.JPG,5,1.036777
H16_1.0_chroma.JPG,7,0.628206
