test_image,response,resptime
I21_1.0_chroma.JPG,5,4.382473
H22_1.0_chroma.JPG,3,1.208599
H11_1.0_chroma.JPG,4,0.833978
I08_1.0_chroma.JPG,2,1.08034
I16_1.0_chroma.JPG,9,1.651664
I01_1.0_chroma.JPG,2,0.865984
H9_1.0_chroma.JPG,5,0.770952
I07_1.0_chroma.JPG,4,0.745345
I04_1.0_chroma.JPG,6,0.643439
H0_1.0_chroma.JPG,5,1.036151
I12_1.0_chroma.JPG,3,1.055827
I13_1.0_chroma.JPG,7,1.028156
H28_1.0_chroma.JPG,5,0.452997
I15_1.0_chroma.JPG,6,0.963014
H17_1.0_chroma.JPG,2,0.77563
H15_1.0_chroma.JPG,8,1.119563
H13_1.0_chroma.JPG,4,1.403737
H23_1.0_chroma.JPG,6,2.167981
H2_1.0_chroma.JPG,9,1.36378
I20_1.0_chroma.JPG,7,1.724429
H6_1.0_chroma.JPG,2,2.081772
H12_1.0_chroma.JPG,5,0.508969
H14_1.0_chroma.JPG,4,0.723627
H21_1.0_chroma.JPG,2,0.974781
H3_1.0_chroma.JPG,5,0.637619
H20_1.0_chroma.JPG,4,0.381784
I03_1.0_chroma.JPG,7,0.3162
H8_1.0_chroma.JPG,9,0.649802
I14_1.0_chroma.JPG,6,0.419534
H4_1.0_chroma.JPG,5,0.402504
H18_1.0_chroma.JPG,2,0.384058
I06_1.0_chroma.JPG,4,0.524227
H10_1.0_chroma.JPG,5,0.472825
H5_1.0_chroma.JPG,1,0.441006
H26_1.0_chroma.JPG,2,0.425966
H25_1.0_chroma.JPG,3,0.59196
H27_1.0_chroma.JPG,5,0.602983
H24_1.0_chroma.JPG,7,0.901016
H29_1.0_chroma.JPG,5,0.569979
H16_1.0_chroma.JPG,2,0.644967
I22_1.0_chroma.JPG,6,0.444255
H19_1.0_chroma.JPG,4,0.397251
H7_1.0_chroma.JPG,2,0.559609
I23_1.0_chroma.JPG,5,0.401575
H1_1.0_chroma.JPG,9,1.728243
